Gemeindename;Fläche km2 1);insgesamt;männlich;weiblich;je km2;Post-leit-zahl3);Längengrad;Breitengrad;Column1;Reisegebiete;Grad der Verstädterung;
Buch a.Erlbach;26,72; 3 868; 1 938; 1 930;  145;84172;12,034551;48,449087;T41;Bayerisches Golf- und Thermenland;gering besiedelt;
Kammlach;26,72; 1 820;  937;  883;  68;87754;10,419999;48,045102;T21;Allgäu;gering besiedelt;
Gablingen;26,71; 4 692; 2 409; 2 283;  176;86456;10,82349;48,455715;T22;Bayerisch-Schwaben;gering besiedelt;
Fünfstetten;26,71; 1 321;  662;  659;  49;86681;10,76439;48,832623;T22;Bayerisch-Schwaben;gering besiedelt;
Bollewick;26,71;  641;  319;  322;  24;17207;12,579987;53,359038;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Endingen am Kaiserstuhl, Stadt;26,70; 9 868; 4 907; 4 961;  370;79346;7,701325;48,142314;L13;Südlicher Schwarzwald;mittlere Besiedlungsdichte;
Kandel, Stadt;26,69; 9 061; 4 516; 4 545;  339;76870;8,192761;49,081369;J16;Pfalz;mittlere Besiedlungsdichte;
Waldleiningen;26,69;  379;  195;  184;  14;67677;7,885152;49,397765;J16;Pfalz;gering besiedelt;
Niedertaufkirchen;26,69; 1 426;  781;  645;  53;84494;12,547967;48,329651;T34;Inn-Salzach;gering besiedelt;
Kettershausen;26,69; 1 728;  882;  846;  65;86498;10,261922;48,182167;T21;Allgäu;gering besiedelt;
Haldenwang;26,69; 3 780; 1 943; 1 837;  142;87490;10,346413;47,80179;T21;Allgäu;gering besiedelt;
Cölbe;26,68; 6 695; 3 308; 3 387;  251;35091;8,78314;50,84849;I07;Marburg-Biedenkopf;mittlere Besiedlungsdichte;
Bernau a.Chiemsee;26,68; 6 980; 3 638; 3 342;  262;83233;12,374087;47,811654;T38;Chiemsee-Alpenland;mittlere Besiedlungsdichte;
Trabitz;26,68; 1 293;  647;  646;  48;92724;11,896308;49,800355;T16;Oberpfälzer Wald;gering besiedelt;
Rodeberg;26,68; 2 044; 1 053;  991;  77;99976;10,304297;51,222807;E20;Eichsfeld;gering besiedelt;
Schapen;26,67; 2 395; 1 234; 1 161;  90;48480;7,558824;52,401912;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Einhausen;26,67; 6 393; 3 215; 3 178;  240;64683;8,545053;49,672282;I15;Odenwald-Bergstrasse-Neckartal;mittlere Besiedlungsdichte;
Schauenstein, St;26,66; 1 922;  949;  973;  72;95197;11,740779;50,277606;T07;Frankenwald;gering besiedelt;
Bad Sülze, Stadt;26,66; 1 710;  846;  864;  64;18334;12,65907;54,109956;B02;Vorpommern;gering besiedelt;
Fockbek;26,65; 6 236; 3 028; 3 208;  234;24787;9,601589;54,30413;F04;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte;
Großrückerswalde;26,65; 3 346; 1 695; 1 651;  126;09518;13,124789;50,63018;C06;Erzgebirge;gering besiedelt;
Cunewalde;26,65; 4 651; 2 287; 2 364;  175;02733;14,518265;51,100694;C03;Oberlausitz/Niederschlesien;gering besiedelt;
Wilhermsdorf, M;26,64; 5 387; 2 750; 2 637;  202;91452;10,714372;49,482292;T11;Romantisches Franken - vom Rangau zur Romantischen Straße;gering besiedelt;
Schwanheide;26,63;  734;  382;  352;  28;19258;10,683178;53,431347;B04;Westmecklenburg;gering besiedelt;
Berge;26,62;  758;  396;  362;  28;19348;11,873277;53,239045;A01;Prignitz;gering besiedelt;
Groß Wüstenfelde;26,62;  819;  399;  420;  31;17168;12,549267;53,874202;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Süderlügum;26,59; 2 380; 1 160; 1 220;  90;25923;8,907944;54,872427;F04;übrig. Schleswig-Holstein;gering besiedelt;
Antrifttal;26,59; 1 846;  912;  934;  69;36326;9,184625;50,795858;I10;Vogelsberg und Wetterau;gering besiedelt;
Obermarchtal;26,59; 1 288;  653;  635;  48;89611;9,568532;48,233294;L60;Schwäbische Alb;gering besiedelt;
Neukirch;26,59; 2 704; 1 380; 1 324;  102;88099;9,701999;47,657496;L72;Bodensee;gering besiedelt;
Briedel;26,58;  913;  464;  449;  34;56856;7,145792;50,022096;J14;Mosel-Saar;gering besiedelt;
Nordhastedt;26,56; 2 844; 1 419; 1 425;  107;25785;9,182991;54,17205;F04;übrig. Schleswig-Holstein;gering besiedelt;
Aidlingen;26,56; 9 024; 4 440; 4 584;  340;71134;8,896991;48,677969;L50;Region Stuttgart;mittlere Besiedlungsdichte;
Allershausen;26,55; 5 847; 3 127; 2 720;  220;85391;11,598275;48,429879;T24;Münchener Umland;gering besiedelt;
Tarmstedt;26,54; 3 841; 1 933; 1 908;  145;27412;9,079241;53,22678;G04;Unterelbe-Unterweser;gering besiedelt;
Deidesheim, Stadt;26,54; 3 760; 1 800; 1 960;  142;67146;8,186692;49,409358;J16;Pfalz;mittlere Besiedlungsdichte;
Neubrunn, M;26,54; 2 303; 1 166; 1 137;  87;97277;9,671808;49,730719;T05;Fränkisches Weinland;gering besiedelt;
Allensbach;26,53; 7 087; 3 339; 3 748;  267;78476;9,070194;47,715742;L72;Bodensee;mittlere Besiedlungsdichte;
Leezen;26,53; 2 219; 1 121; 1 098;  84;19067;11,499718;53,66194;B04;Westmecklenburg;gering besiedelt;
Urbach;26,53;  881;  442;  439;  33;99765;10,90058;51,480778;E19;Südharz Kyffhäuser;gering besiedelt;
Sontheim;26,52; 2 702; 1 379; 1 323;  102;87776;10,352914;48,008522;T21;Allgäu;gering besiedelt;
Weilheim an der Teck, Stadt;26,51; 10 275; 5 185; 5 090;  388;73235;9,537362;48,615689;L50;Region Stuttgart;mittlere Besiedlungsdichte;
Ilsfeld;26,51; 9 568; 4 933; 4 635;  361;74360;9,24477;49,05512;L40;Nördliches Baden-Württemberg;gering besiedelt;
Stephanskirchen;26,51; 10 528; 5 045; 5 483;  397;83071;12,186066;47,854144;T38;Chiemsee-Alpenland;mittlere Besiedlungsdichte;
Ziesendorf;26,51; 1 427;  699;  728;  54;18059;12,038635;53,993843;B03;Mecklenburgische Ostseeküste;gering besiedelt;
Bargstedt;26,50; 2 030; 1 050;  980;  77;21698;9,448787;53,460043;G04;Unterelbe-Unterweser;gering besiedelt;
Walchum;26,50; 1 566;  794;  772;  59;26907;7,282138;52,930598;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Bergtheim;26,48; 3 756; 1 876; 1 880;  142;97241;10,067369;49,898712;T05;Fränkisches Weinland;gering besiedelt;
Travenbrück;26,47; 1 728;  871;  857;  65;23843;10,297703;53,838235;F04;übrig. Schleswig-Holstein;gering besiedelt;
Wutöschingen;26,47; 6 612; 3 301; 3 311;  250;79793;8,366501;47,659937;L13;Südlicher Schwarzwald;mittlere Besiedlungsdichte;
Horgau;26,47; 2 834; 1 465; 1 369;  107;86497;10,683894;48,394913;T22;Bayerisch-Schwaben;gering besiedelt;
Pechbrunn;26,46; 1 350;  654;  696;  51;95701;12,168271;49,968635;T16;Oberpfälzer Wald;gering besiedelt;
Karrenzin;26,46;  550;  276;  274;  21;19372;11,801777;53,338856;B04;Westmecklenburg;gering besiedelt;
Bütow;26,45;  452;  242;  210;  17;17209;12,483362;53,346298;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Frickingen;26,43; 2 981; 1 500; 1 481;  113;88699;9,273089;47,81517;L72;Bodensee;gering besiedelt;
Buch a.Wald;26,43; 1 025;  542;  483;  39;91592;10,333667;49,330095;T11;Romantisches Franken - vom Rangau zur Romantischen Straße;gering besiedelt;
Immenreuth;26,42; 1 903;  974;  929;  72;95505;11,869284;49,907153;T16;Oberpfälzer Wald;gering besiedelt;
Schwarz;26,42;  353;  179;  174;  13;17252;12,785804;53,225157;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Starkenberg;26,42; 1 872;  958;  914;  71;04617;12,308886;50,98314;E29;Übriges Thüringen;gering besiedelt;
Kriegsfeld;26,41; 1 015;  512;  503;  38;67292;7,915738;49,709175;J16;Pfalz;gering besiedelt;
Neckarbischofsheim, Stadt;26,41; 4 040; 2 045; 1 995;  153;74924;8,960914;49,294478;L40;Nördliches Baden-Württemberg;gering besiedelt;
Weißenbrunn;26,41; 2 850; 1 433; 1 417;  108;96369;11,346192;50,200405;T07;Frankenwald;gering besiedelt;
Blindheim;26,40; 1 693;  866;  827;  64;89434;10,618163;48,631656;T22;Bayerisch-Schwaben;gering besiedelt;
Grasbrunn;26,39; 6 904; 3 435; 3 469;  262;85630;11,743559;48,079074;T24;Münchener Umland;mittlere Besiedlungsdichte;
Neunkirchen a.Brand, M;26,39; 8 104; 3 998; 4 106;  307;91077;11,12957;49,613014;T03;Fränkische Schweiz;mittlere Besiedlungsdichte;
Malborn;26,38; 1 343;  651;  692;  51;54426;6,987872;49,715946;J13;Hunsrück;gering besiedelt;
Splietsdorf;26,38;  452;  235;  217;  17;18513;12,930708;54,12351;B02;Vorpommern;gering besiedelt;
Regis-Breitingen, Stadt;26,37; 3 888; 1 952; 1 936;  147;04565;12,434362;51,087869;C07;Sächsisches Burgen- und Heideland;gering besiedelt;
Kirchheimbolanden, Stadt;26,36; 7 802; 3 746; 4 056;  296;67292;8,011623;49,664077;J16;Pfalz;mittlere Besiedlungsdichte;
Ebersdorf b.Coburg;26,36; 6 017; 2 985; 3 032;  228;96237;11,077094;50,218128;T43;Coburg.Rennsteig;gering besiedelt;
Siemz-Niendorf;26,36;  613;  310;  303;  23;23923;10,895326;53,809275;B03;Mecklenburgische Ostseeküste;gering besiedelt;
Wolpertswende;26,35; 4 176; 2 118; 2 058;  158;88284;9,613345;47,895287;L71;Württembergisches Allgäu Oberschwaben;gering besiedelt;
Igling;26,35; 2 522; 1 270; 1 252;  96;86859;10,805609;48,073414;T26;Ammersee-Lech;gering besiedelt;
Nüdlingen;26,35; 3 894; 1 933; 1 961;  148;97720;10,123789;50,22115;T10;Rhön;mittlere Besiedlungsdichte;
Steinach, Stadt;26,35; 3 856; 1 896; 1 960;  146;96523;11,158066;50,432443;E28;Thüringer Wald;gering besiedelt;
Rastdorf;26,34; 1 090;  590;  500;  41;26901;7,709197;52,912598;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Gevelsberg, Stadt;26,34; 30 695; 14 904; 15 791; 1 165;58285;7,337464;51,324271;H11;Ruhrgebiet;dicht besiedelt;
Knittlingen, Stadt;26,33; 8 048; 3 969; 4 079;  306;75438;8,758013;49,024124;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Mietingen;26,33; 4 375; 2 239; 2 136;  166;88487;9,903726;48,179243;L71;Württembergisches Allgäu Oberschwaben;gering besiedelt;
Stegen;26,32; 4 469; 2 191; 2 278;  170;79252;7,964023;47,983828;L13;Südlicher Schwarzwald;mittlere Besiedlungsdichte;
Reichenwalde;26,32; 1 156;  603;  553;  44;15526;13,998033;52,264685;A06;Seenland Oder-Spree;gering besiedelt;
Norderney, Stadt;26,31; 6 089; 2 872; 3 217;  231;26548;7,145431;53,707276;G01;Ostfriesische Inseln;mittlere Besiedlungsdichte;
Durbach;26,31; 3 893; 1 899; 1 994;  148;77770;8,015098;48,494785;L12;Mittlerer Schwarzwald;mittlere Besiedlungsdichte;
Erolzheim;26,30; 3 342; 1 700; 1 642;  127;88453;10,072583;48,091068;L71;Württembergisches Allgäu Oberschwaben;gering besiedelt;
Baisweil;26,30; 1 313;  675;  638;  50;87650;10,541831;47,943787;T21;Allgäu;gering besiedelt;
Oelsnitz/Erzgeb., Stadt;26,28; 10 957; 5 305; 5 652;  417;09376;12,706087;50,724284;C06;Erzgebirge;mittlere Besiedlungsdichte;
Ebersbach an der Fils, Stadt;26,26; 15 535; 7 750; 7 785;  592;73061;9,523452;48,714242;L50;Region Stuttgart;mittlere Besiedlungsdichte;
Dersekow;26,26; 1 063;  547;  516;  40;17498;13,292466;54,046054;B02;Vorpommern;gering besiedelt;
Rehling;26,25; 2 572; 1 305; 1 267;  98;86508;10,924886;48,486862;T22;Bayerisch-Schwaben;gering besiedelt;
Bovenau;26,24; 1 094;  527;  567;  42;24796;9,829983;54,330579;F04;übrig. Schleswig-Holstein;gering besiedelt;
Memmelsdorf;26,24; 8 828; 4 338; 4 490;  336;96117;10,95495;49,932697;T03;Fränkische Schweiz;mittlere Besiedlungsdichte;
Langenselbold, Stadt;26,23; 13 979; 6 872; 7 107;  533;63505;9,039698;50,175668;I12;Spessart-Kinzigtal-Vogelsberg;mittlere Besiedlungsdichte;
Katzow;26,23;  573;  302;  271;  22;17509;13,672854;54,048988;B02;Vorpommern;gering besiedelt;
Jahnsdorf/Erzgeb.;26,23; 5 568; 2 807; 2 761;  212;09387;12,848674;50,739907;C06;Erzgebirge;gering besiedelt;
Sollstedt;26,23; 2 879; 1 451; 1 428;  110;99759;10,530644;51,413215;E19;Südharz Kyffhäuser;gering besiedelt;
Guxhagen;26,19; 5 355; 2 647; 2 708;  204;34302;9,48077;51,203012;I05;Kurhessisches Bergland;gering besiedelt;
Eberdingen;26,19; 6 824; 3 436; 3 388;  261;71735;8,964232;48,880949;L50;Region Stuttgart;gering besiedelt;
Rieneck, St;26,19; 1 959;  946; 1 013;  75;97794;9,648272;50,093154;T12;Spessart-Mainland;gering besiedelt;
Mustin;26,19;  376;  191;  185;  14;19406;11,973846;53,696025;B04;Westmecklenburg;gering besiedelt;
Küssaberg;26,17; 5 399; 2 652; 2 747;  206;79790;8,305426;47,589996;L13;Südlicher Schwarzwald;mittlere Besiedlungsdichte;
Pirk;26,17; 1 840;  911;  929;  70;92712;12,163544;49,634921;T16;Oberpfälzer Wald;gering besiedelt;
Neckargemünd, Stadt;26,16; 13 290; 6 501; 6 789;  508;69151;8,7973;49,394478;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Kaufungen;26,15; 12 519; 6 066; 6 453;  479;34260;9,633789;51,282759;I01;Kassel- Land;mittlere Besiedlungsdichte;
Teistungen;26,15; 2 571; 1 292; 1 279;  98;37339;10,265023;51,470896;E20;Eichsfeld;gering besiedelt;
Radebeul, Stadt;26,14; 34 008; 16 437; 17 571; 1 301;01445;13,659342;51,105975;C05;Sächsisches Elbland;dicht besiedelt;
Berghülen;26,13; 1 932;  981;  951;  74;89180;9,761209;48,464015;L60;Schwäbische Alb;gering besiedelt;
Weil im Schönbuch;26,12; 10 018; 4 958; 5 060;  384;71093;9,061727;48,622879;L50;Region Stuttgart;mittlere Besiedlungsdichte;
Plüderhausen;26,12; 9 487; 4 689; 4 798;  363;73655;9,599182;48,795519;L50;Region Stuttgart;mittlere Besiedlungsdichte;
Marschacht;26,11; 3 933; 1 957; 1 976;  151;21436;10,367666;53,417357;G09;Lüneburger Heide;mittlere Besiedlungsdichte;
Eggenstein-Leopoldshafen;26,11; 16 625; 8 304; 8 321;  637;76344;8,392996;49,08108;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Fahrenwalde;26,11;  293;  164;  129;  11;17309;14,066343;53,439371;B02;Vorpommern;gering besiedelt;
Altenmarkt a.d.Alz;26,10; 4 181; 2 078; 2 103;  160;83352;12,534485;48,000956;T39;Chiemsee-Chiemgau;gering besiedelt;
Garzau-Garzin;26,10;  522;  279;  243;  20;15345;13,945498;52,533872;A06;Seenland Oder-Spree;gering besiedelt;
Übach-Palenberg, Stadt;26,09; 24 081; 12 087; 11 994;  923;52531;6,118933;50,919252;H02;Niederrhein;mittlere Besiedlungsdichte;
Hollenbach;26,09; 2 374; 1 232; 1 142;  91;86568;11,075061;48,488339;T22;Bayerisch-Schwaben;gering besiedelt;
Samern;26,07;  757;  398;  359;  29;48465;7,255962;52,299715;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Merkendorf, St;26,07; 3 000; 1 537; 1 463;  115;91732;10,701601;49,203432;T04;Fränkisches Seenland;gering besiedelt;
Wolfersdorf;26,06; 2 600; 1 350; 1 250;  100;85395;11,708788;48,478796;T24;Münchener Umland;gering besiedelt;
Sülfeld;26,05; 3 246; 1 592; 1 654;  125;23867;10,231794;53,799571;F04;übrig. Schleswig-Holstein;gering besiedelt;
Hartheim am Rhein;26,05; 4 727; 2 389; 2 338;  181;79258;7,624495;47,936423;L13;Südlicher Schwarzwald;gering besiedelt;
Lammershagen;26,04;  246;  130;  116;  9;24238;10,443923;54,274509;F04;übrig. Schleswig-Holstein;gering besiedelt;
Barver;26,04; 1 062;  566;  496;  41;49453;8,593598;52,620672;G08;Mittelweser;gering besiedelt;
Kühndorf;26,04;  924;  479;  445;  35;98547;10,490681;50,60779;E26;Thüringer Rhön;gering besiedelt;
Unterspreewald;26,02;  796;  400;  396;  31;15910;13,902915;52,108315;A08;Spreewald;gering besiedelt;
Schwaförden;26,00; 1 491;  776;  715;  57;27252;8,818783;52,737783;G08;Mittelweser;gering besiedelt;
Grattersdorf;25,98; 1 279;  625;  654;  49;94551;13,15342;48,803644;T15;Bayerischer Wald;gering besiedelt;
Namborn;25,98; 7 045; 3 514; 3 531;  271;66640;7,140686;49,521212;K01;Nordsaarland;mittlere Besiedlungsdichte;
Utzedel;25,98;  468;  239;  229;  18;17111;13,117717;53,856604;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Schwarzatal, Stadt;25,98; 3 622; 1 743; 1 879;  139;98744;11,144311;50,582975;E28;Thüringer Wald;gering besiedelt;
Durmersheim;25,97; 12 160; 5 993; 6 167;  468;76448;8,268461;48,931418;L11;Nördlicher Schwarzwald;mittlere Besiedlungsdichte;
Hilden, Stadt;25,95; 55 764; 26 812; 28 952; 2 149;40721;6,933705;51,168245;H10;Düsseldorf und Kreis Mettmann;dicht besiedelt;
Ahlden (Aller), Flecken;25,94; 1 526;  767;  759;  59;29693;9,552615;52,759772;G09;Lüneburger Heide;gering besiedelt;
Eberfing;25,93; 1 434;  720;  714;  55;82390;11,200893;47,796415;T28;Pfaffenwinkel;gering besiedelt;
Burgau, St;25,93; 9 923; 5 000; 4 923;  383;89331;10,406193;48,431944;T22;Bayerisch-Schwaben;mittlere Besiedlungsdichte;
Ottendorf-Okrilla;25,93; 9 948; 4 996; 4 952;  384;01458;13,831724;51,187617;C03;Oberlausitz/Niederschlesien;mittlere Besiedlungsdichte;
Wadgassen;25,91; 17 190; 8 413; 8 777;  663;66787;6,805318;49,261607;K03;Übriges Saarland;mittlere Besiedlungsdichte;
Lohmen;25,90; 3 077; 1 495; 1 582;  119;01847;13,998567;50,989001;C04;Sächsische Schweiz;gering besiedelt;
Burgstädt, Stadt;25,88; 10 672; 5 185; 5 487;  412;09217;12,806921;50,918265;C07;Sächsisches Burgen- und Heideland;mittlere Besiedlungsdichte;
Coswig, Stadt;25,88; 20 817; 9 966; 10 851;  804;01640;13,580494;51,126777;C05;Sächsisches Elbland;mittlere Besiedlungsdichte;
Litzendorf;25,87; 6 103; 3 031; 3 072;  236;96123;11,010097;49,91123;T03;Fränkische Schweiz;gering besiedelt;
Heinrichsthaler Forst;25,87;;;;;;9,372651;50,052689;T12;Spessart-Mainland;gering besiedelt;
Berglen;25,86; 6 387; 3 202; 3 185;  247;73663;9,469424;48,861445;L50;Region Stuttgart;gering besiedelt;
Garching a.d.Alz;25,86; 8 642; 4 268; 4 374;  334;84518;12,574383;48,127462;T34;Inn-Salzach;mittlere Besiedlungsdichte;
Thelkow;25,86;  449;  249;  200;  17;18195;12,559617;54,039334;B03;Mecklenburgische Ostseeküste;gering besiedelt;
Edermünde;25,85; 7 318; 3 662; 3 656;  283;34295;9,385619;51,220906;I05;Kurhessisches Bergland;gering besiedelt;
Panketal;25,85; 20 519; 10 104; 10 415;  794;16341;13,543257;52,654626;A04;Barnimer Land;mittlere Besiedlungsdichte;
Bad Steben, M;25,84; 3 405; 1 618; 1 787;  132;95138;11,644155;50,366215;T07;Frankenwald;gering besiedelt;
Riepsdorf;25,81;  912;  456;  456;  35;23738;10,969732;54,22536;F04;übrig. Schleswig-Holstein;gering besiedelt;
Husum, Stadt;25,80; 23 158; 11 108; 12 050;  898;25813;9,057178;54,477143;F01;Nordsee;mittlere Besiedlungsdichte;
Koldenbüttel;25,80;  916;  456;  460;  36;25840;9,065906;54,384849;F04;übrig. Schleswig-Holstein;gering besiedelt;
Zehna;25,80;  621;  329;  292;  24;18276;12,137274;53,717302;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Trappstadt, M;25,79;  969;  508;  461;  38;97633;10,570532;50,319836;T08;Haßberge;gering besiedelt;
Heubach, Stadt;25,78; 9 774; 4 878; 4 896;  379;73540;9,934626;48,78878;L60;Schwäbische Alb;mittlere Besiedlungsdichte;
Farchant;25,78; 3 634; 1 768; 1 866;  141;82490;11,112099;47,530185;T29;Zugspitz-Region;mittlere Besiedlungsdichte;
Altheim (Alb);25,77; 1 707;  864;  843;  66;89174;10,025037;48,581738;L60;Schwäbische Alb;gering besiedelt;
Teisnach, M;25,77; 2 950; 1 494; 1 456;  114;94244;12,991572;49,040245;T15;Bayerischer Wald;gering besiedelt;
Ebelsbach;25,77; 3 779; 1 878; 1 901;  147;97500;10,674474;49,984027;T08;Haßberge;gering besiedelt;
Helsa;25,76; 5 638; 2 756; 2 882;  219;34298;9,686204;51,257311;I01;Kassel- Land;gering besiedelt;
Zirkow;25,76;  649;  330;  319;  25;18528;13,539106;54,388252;B01;Rügen/Hiddensee;gering besiedelt;
Bannewitz;25,76; 10 868; 5 247; 5 621;  422;01728;13,722393;50,993964;C05;Sächsisches Elbland;mittlere Besiedlungsdichte;
Aichhalden;25,75; 4 141; 2 043; 2 098;  161;78733;8,398748;48,269444;L12;Mittlerer Schwarzwald;gering besiedelt;
Untrasried;25,75; 1 590;  815;  775;  62;87496;10,379496;47,828095;T21;Allgäu;gering besiedelt;
Warthausen;25,74; 5 318; 2 627; 2 691;  207;88447;9,797727;48,128975;L71;Württembergisches Allgäu Oberschwaben;mittlere Besiedlungsdichte;
Hohenkammer;25,74; 2 662; 1 398; 1 264;  103;85411;11,523555;48,4241;T24;Münchener Umland;gering besiedelt;
Peenemünde;25,74;  323;  180;  143;  13;17449;13,769464;54,135818;B02;Vorpommern;gering besiedelt;
Penzberg, St;25,73; 16 586; 8 151; 8 435;  645;82377;11,376279;47,751761;T28;Pfaffenwinkel;mittlere Besiedlungsdichte;
Belum;25,72;  822;  419;  403;  32;21785;8,994205;53,816223;G02;Nordseeküste;gering besiedelt;
Kappel-Grafenhausen;25,72; 5 096; 2 651; 2 445;  198;77966;7,743559;48,291847;L12;Mittlerer Schwarzwald;gering besiedelt;
Bad Vilbel, Stadt;25,68; 33 990; 16 444; 17 546; 1 324;61118;8,741149;50,180878;I10;Vogelsberg und Wetterau;mittlere Besiedlungsdichte;
Beesten;25,67; 1 592;  833;  759;  62;49832;7,497701;52,43596;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Berga;25,67; 1 673;  846;  827;  65;06536;11,007196;51,456642;D01;Harz und Harzvorland;gering besiedelt;
Collenberg;25,66; 2 442; 1 243; 1 199;  95;97903;9,338969;49,771638;T12;Spessart-Mainland;gering besiedelt;
Wechselburg;25,65; 1 811;  914;  897;  71;09306;12,774976;51,004312;C07;Sächsisches Burgen- und Heideland;gering besiedelt;
Bergen an der Dumme, Flecken;25,64; 1 436;  701;  735;  56;29468;10,956207;52,890829;G09;Lüneburger Heide;gering besiedelt;
Niederwinkling;25,64; 2 771; 1 386; 1 385;  108;94559;12,797548;48,886923;T15;Bayerischer Wald;gering besiedelt;
Klein Bennebek;25,63;  550;  296;  254;  21;24848;9,456571;54,402006;F04;übrig. Schleswig-Holstein;gering besiedelt;
Dohren;25,63; 1 117;  561;  556;  44;49770;7,584082;52,64514;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Söchtenau;25,62; 2 651; 1 342; 1 309;  103;83139;12,2295;47,931507;T38;Chiemsee-Alpenland;gering besiedelt;
Bülstedt;25,60;  737;  379;  358;  29;27412;9,151253;53,210127;G04;Unterelbe-Unterweser;gering besiedelt;
Winterspelt;25,60;  805;  414;  391;  31;54616;6,214596;50,213184;J12;Eifel;gering besiedelt;
Waibstadt, Stadt;25,57; 5 682; 2 779; 2 903;  222;74915;8,920252;49,299852;L40;Nördliches Baden-Württemberg;gering besiedelt;
St. Leon-Rot;25,56; 13 734; 6 824; 6 910;  537;68789;8,599891;49,267197;L40;Nördliches Baden-Württemberg;mittlere Besiedlungsdichte;
Millienhagen-Oebelitz;25,56;  339;  187;  152;  13;18461;12,820081;54,206478;B02;Vorpommern;gering besiedelt;
Göritz;25,55;  816;  396;  420;  32;17291;13,913651;53,407652;A03;Uckermark;gering besiedelt;
Hiltpoltstein, M;25,54; 1 542;  788;  754;  60;91355;11,32105;49,660459;T03;Fränkische Schweiz;gering besiedelt;
Farven;25,53;  608;  330;  278;  24;27446;9,321113;53,433712;G04;Unterelbe-Unterweser;gering besiedelt;
Alt Sührkow;25,52;  394;  212;  182;  15;17166;12,650883;53,802405;B05;Mecklenburgische Schweiz und Seenplatte;gering besiedelt;
Mesekenhagen;25,52;  999;  503;  496;  39;17498;13,316622;54,149733;B02;Vorpommern;gering besiedelt;
Großbottwar, Stadt;25,51; 8 512; 4 295; 4 217;  334;71723;9,292335;48,999692;L50;Region Stuttgart;mittlere Besiedlungsdichte;
Oberschwarzach, M;25,51; 1 420;  727;  693;  56;97516;10,410276;49,860794;T14;Steigerwald;gering besiedelt;
Kößlarn, M;25,48; 1 922;  970;  952;  75;94149;13,121867;48,372007;T41;Bayerisches Golf- und Thermenland;gering besiedelt;
Wallhausen;25,47; 3 716; 1 886; 1 830;  146;74599;10,063061;49,211863;L40;Nördliches Baden-Württemberg;gering besiedelt;
Rainau;25,47; 3 318; 1 715; 1 603;  130;73492;10,138467;48,928166;L60;Schwäbische Alb;gering besiedelt;
Wolframs-Eschenbach, St;25,47; 3 116; 1 512; 1 604;  122;91639;10,723299;49,226119;T04;Fränkisches Seenland;gering besiedelt;
Triefenstein, M;25,47; 4 380; 2 170; 2 210;  172;97855;9,602788;49,811476;T05;Fränkisches Weinland;gering besiedelt;
Boitze;25,46;  385;  195;  190;  15;21368;10,748691;53,148663;G09;Lüneburger Heide;gering besiedelt;
Daiting;25,46;  791;  414;  377;  31;86653;10,904183;48,791856;T22;Bayerisch-Schwaben;gering besiedelt;
Weste;25,45;  950;  462;  488;  37;29599;10,706469;53,059515;G09;Lüneburger Heide;gering besiedelt;
Messingen;25,44; 1 057;  557;  500;  42;49832;7,460185;52,466511;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Bad Ditzenbach;25,44; 3 741; 1 870; 1 871;  147;73342;9,704166;48,58863;L50;Region Stuttgart;gering besiedelt;
Maulbronn, Stadt;25,44; 6 588; 3 252; 3 336;  259;75433;8,814618;49,000362;L40;Nördliches Baden-Württemberg;gering besiedelt;
Wiek;25,44; 1 045;  501;  544;  41;18556;13,290399;54,621252;B01;Rügen/Hiddensee;gering besiedelt;
Enkirch;25,43; 1 434;  709;  725;  56;56841;7,126942;49,983334;J14;Mosel-Saar;gering besiedelt;
Nebra (Unstrut), Stadt;25,42; 3 127; 1 548; 1 579;  123;06642;11,577753;51,288914;D02;Halle, Saale, Unstrut;gering besiedelt;
Bayerbach b.Ergoldsbach;25,41; 1 921;  979;  942;  76;84092;12,295097;48,704471;T41;Bayerisches Golf- und Thermenland;gering besiedelt;
Ursberg;25,40; 3 224; 1 668; 1 556;  127;86513;10,444326;48,265505;T22;Bayerisch-Schwaben;mittlere Besiedlungsdichte;
Bördeaue;25,40; 1 821;  893;  928;  72;39435;11,512902;51,931964;D04;Magdeburg, Elbe-Börde-Heide;gering besiedelt;
